 written on 10Jan2020 at 02:22:22 
          22
          21
    4    2    4    4    2    4    4    2    4    2    1    2    4    2    4
    4    2    4    4    2    4
   -1   -1   -1   16    6   -0.002980    0.007438
   -1   -1   -1   17    6   -0.002024   -0.003690
   -1   -1   -1   18    6   -0.001256    0.006242
   -1   -1   -1   19    6    0.001449   -0.004178
   -1   -1   -1   20    6   -0.002404    0.000769
   -1   -1   -1   21    6    0.000339   -0.000379
   -1   -1   -1   22    6   -0.002415    0.000334
   -1   -1   -1    1    7   -0.003451    0.036676
   -1   -1   -1    2    7   -0.097778   -0.153677
   -1   -1   -1    3    7    0.066880    0.042183
   -1   -1   -1    4    7    0.000869    0.002095
   -1   -1   -1    5    7   -0.009114    0.011939
   -1   -1   -1    6    7    0.000872    0.001392
   -1   -1   -1    7    7   -0.002032   -0.000000
   -1   -1   -1    8    7   -0.014051   -0.066326
   -1   -1   -1    9    7    0.005727    0.002381
   -1   -1   -1   10    7    0.005122    0.000430
   -1   -1   -1   11    7   -0.009040    0.010775
   -1   -1   -1   12    7   -0.000939   -0.000527
   -1   -1   -1   13    7    0.000316    0.004619
   -1   -1   -1   14    7    0.012893   -0.034595
   -1   -1   -1   15    7   -0.002347   -0.031276
   -1   -1   -1   16    7    0.053445   -0.027885
   -1   -1   -1   17    7    0.012222    0.029389
   -1   -1   -1   18    7   -0.014121   -0.083914
   -1   -1   -1   19    7    0.009718    0.012521
   -1   -1   -1   20    7   -0.006452    0.004024
   -1   -1   -1   21    7   -0.001146    0.010391
   -1   -1   -1   22    7   -0.003904   -0.010047
   -1   -1   -1    1    8    0.035089   -0.048276
   -1   -1   -1    2    8    0.022693    0.056777
   -1   -1   -1    3    8   -0.023397    0.001230
   -1   -1   -1    4    8    0.012381   -0.006783
   -1   -1   -1    5    8   -0.023949   -0.006631
   -1   -1   -1    6    8   -0.001216    0.005282
   -1   -1   -1    7    8   -0.014051    0.066326
   -1   -1   -1    8    8    0.029043    0.000000
   -1   -1   -1    9    8    0.002284   -0.004863
   -1   -1   -1   10    8   -0.005039    0.001460
   -1   -1   -1   11    8   -0.023805   -0.032700
   -1   -1   -1   12    8   -0.003150    0.001043
   -1   -1   -1   13    8   -0.004030   -0.001376
   -1   -1   -1   14    8   -0.009493    0.046099
   -1   -1   -1   15    8   -0.030189    0.104512
   -1   -1   -1   16    8    0.050376   -0.084543
   -1   -1   -1   17    8    0.008580   -0.002864
   -1   -1   -1   18    8   -0.018857    0.071175
   -1   -1   -1   19    8   -0.001637   -0.038855
   -1   -1   -1   20    8   -0.022434   -0.018257
   -1   -1   -1   21    8    0.016855    0.002392
   -1   -1   -1   22    8    0.006275   -0.005949
   -1   -1   -1    1    9   -0.002836    0.002832
   -1   -1   -1    2    9    0.018935   -0.025254
   -1   -1   -1    3    9    0.012247   -0.010214
   -1   -1   -1    4    9    0.019416    0.008401
   -1   -1   -1    5    9   -0.016301    0.002815
   -1   -1   -1    6    9   -0.000466   -0.000680
   -1   -1   -1    7    9    0.005727   -0.002381
   -1   -1   -1    8    9    0.002284    0.004863
   -1   -1   -1    9    9    0.003883   -0.000000
   -1   -1   -1   10    9   -0.001823   -0.001244
   -1   -1   -1   11    9   -0.001636   -0.000361
   -1   -1   -1   12    9   -0.032169   -0.005139
   -1   -1   -1   13    9   -0.022444   -0.016126
   -1   -1   -1   14    9    0.002053   -0.003170
   -1   -1   -1   15    9    0.000333    0.004826
   -1   -1   -1   16    9   -0.019773   -0.002536
   -1   -1   -1   17    9   -0.007177    0.007595
   -1   -1   -1   18    9    0.058173   -0.023436
   -1   -1   -1   19    9   -0.004824    0.013598
   -1   -1   -1   20    9   -0.001582   -0.002071
   -1   -1   -1   21    9   -0.029760    0.008259
   -1   -1   -1   22    9   -0.018649   -0.007388
   -1   -1   -1    1   10   -0.000805   -0.001088
   -1   -1   -1    2   10   -0.023034    0.009486
   -1   -1   -1    3   10    0.009814   -0.009813
   -1   -1   -1    4   10    0.002367   -0.004478
   -1   -1   -1    5   10   -0.006744   -0.005243
   -1   -1   -1    6   10   -0.000395    0.001113
   -1   -1   -1    7   10    0.005122   -0.000430
   -1   -1   -1    8   10   -0.005039   -0.001460
   -1   -1   -1    9   10   -0.001823    0.001244
   -1   -1   -1   10   10    0.001078    0.000000
   -1   -1   -1   11   10    0.001576    0.002807
   -1   -1   -1   12   10    0.004425    0.001164
   -1   -1   -1   13   10    0.002920    0.002000
   -1   -1   -1   14   10   -0.030596   -0.003157
   -1   -1   -1   15   10   -0.002060    0.008530
   -1   -1   -1   16   10    0.011714    0.016184
   -1   -1   -1   17   10   -0.001539    0.003673
   -1   -1   -1   18   10   -0.002852    0.003931
   -1   -1   -1   19   10    0.006378    0.003265
   -1   -1   -1   20   10   -0.002104   -0.001234
   -1   -1   -1   21   10   -0.005444    0.005470
   -1   -1   -1   22   10   -0.005576   -0.002220
   -1   -1   -1    1   11    0.044994   -0.009349
   -1   -1   -1    2   11   -0.073279    0.064347
   -1   -1   -1    3   11    0.036208   -0.036624
   -1   -1   -1    4   11   -0.020079   -0.000368
   -1   -1   -1    5   11    0.021884    0.004951
   -1   -1   -1    6   11    0.001567   -0.001367
   -1   -1   -1    7   11   -0.009040   -0.010775
   -1   -1   -1    8   11   -0.023805    0.032700
   -1   -1   -1    9   11   -0.001636    0.000361
   -1   -1   -1   10   11    0.001576   -0.002807
   -1   -1   -1   11   11    0.010032    0.000000
   -1   -1   -1   12   11   -0.001458    0.001285
   -1   -1   -1   13   11   -0.000394    0.000676
   -1   -1   -1   14   11    0.032112   -0.014372
   -1   -1   -1   15   11   -0.041378   -0.021814
   -1   -1   -1   16   11   -0.004976    0.027548
   -1   -1   -1   17   11    0.027053   -0.014269
   -1   -1   -1   18   11    0.007623    0.032613
   -1   -1   -1   19   11    0.006028   -0.039548
   -1   -1   -1   20   11    0.004920    0.000118
   -1   -1   -1   21   11    0.003415    0.000782
   -1   -1   -1   22   11   -0.003688    0.003880
   -1   -1   -1    1   12    0.011238    0.001473
   -1   -1   -1    2   12   -0.003905   -0.013656
   -1   -1   -1    3   12   -0.008147   -0.023270
   -1   -1   -1    4   12   -0.003479    0.005268
   -1   -1   -1    5   12   -0.003732   -0.007615
   -1   -1   -1    6   12    0.000182   -0.000468
   -1   -1   -1    7   12   -0.000939    0.000527
   -1   -1   -1    8   12   -0.003150   -0.001043
   -1   -1   -1    9   12   -0.032169    0.005139
   -1   -1   -1   10   12    0.004425   -0.001164
   -1   -1   -1   11   12   -0.001458   -0.001285
   -1   -1   -1   12   12    0.000917    0.000000
   -1   -1   -1   13   12   -0.004969    0.000994
   -1   -1   -1   14   12    0.017244    0.001610
   -1   -1   -1   15   12   -0.018589    0.010773
   -1   -1   -1   16   12    0.007612   -0.013999
   -1   -1   -1   17   12   -0.003188   -0.001950
   -1   -1   -1   18   12    0.013903   -0.004503
   -1   -1   -1   19   12    0.006251    0.011616
   -1   -1   -1   20   12    0.000343    0.002613
   -1   -1   -1   21   12    0.001218   -0.002267
   -1   -1   -1   22   12   -0.002455    0.002437
   -1   -1   -1    1   13   -0.000927    0.008233
   -1   -1   -1    2   13   -0.021132   -0.033983
   -1   -1   -1    3   13    0.036949    0.012099
   -1   -1   -1    4   13    0.003607    0.007562
   -1   -1   -1    5   13   -0.009106    0.007764
   -1   -1   -1    6   13    0.001705    0.000294
   -1   -1   -1    7   13    0.000316   -0.004619
   -1   -1   -1    8   13   -0.004030    0.001376
   -1   -1   -1    9   13   -0.022444    0.016126
   -1   -1   -1   10   13    0.002920   -0.002000
   -1   -1   -1   11   13   -0.000394   -0.000676
   -1   -1   -1   12   13   -0.004969   -0.000994
   -1   -1   -1   13   13   -0.005362    0.000000
   -1   -1   -1   14   13    0.000290   -0.009140
   -1   -1   -1   15   13   -0.006307   -0.018171
   -1   -1   -1   16   13    0.005062   -0.003425
   -1   -1   -1   17   13   -0.007052    0.000705
   -1   -1   -1   18   13    0.002338   -0.003460
   -1   -1   -1   19   13   -0.004327    0.007783
   -1   -1   -1   20   13    0.003553    0.000838
   -1   -1   -1   21   13   -0.003800   -0.001312
   -1   -1   -1   22   13   -0.002763    0.001311
   -1   -1   -1    1   14   -0.007626    0.001538
   -1   -1   -1    2   14    0.035464    0.035335
   -1   -1   -1    3   14    0.010910    0.012065
   -1   -1   -1    4   14    0.007468    0.003239
   -1   -1   -1    5   14    0.002185   -0.001249
   -1   -1   -1    6   14   -0.022521    0.000209
   -1   -1   -1    7   14    0.012893    0.034595
   -1   -1   -1    8   14   -0.009493   -0.046099
   -1   -1   -1    9   14    0.002053    0.003170
   -1   -1   -1   10   14   -0.030596    0.003157
   -1   -1   -1   11   14    0.032112    0.014372
   -1   -1   -1   12   14    0.017244   -0.001610
   -1   -1   -1   13   14    0.000290    0.009140
   -1   -1   -1   14   14    0.010637    0.000000
   -1   -1   -1   15   14    0.053709    0.010327
   -1   -1   -1   16   14   -0.015158    0.003865
   -1   -1   -1   17   14   -0.003270    0.005348
   -1   -1   -1   18   14    0.001165    0.011480
   -1   -1   -1   19   14   -0.002105   -0.007061
   -1   -1   -1   20   14   -0.045577    0.008219
   -1   -1   -1   21   14   -0.019228    0.003637
   -1   -1   -1   22   14   -0.005114   -0.005007
   -1   -1   -1    1   15    0.011544    0.011072
   -1   -1   -1    2   15   -0.078032   -0.123193
   -1   -1   -1    3   15    0.110253    0.016913
   -1   -1   -1    4   15    0.001519   -0.021666
   -1   -1   -1    5   15   -0.007559    0.020125
   -1   -1   -1    6   15   -0.003115    0.014394
   -1   -1   -1    7   15   -0.002347    0.031276
   -1   -1   -1    8   15   -0.030189   -0.104512
   -1   -1   -1    9   15    0.000333   -0.004826
   -1   -1   -1   10   15   -0.002060   -0.008530
   -1   -1   -1   11   15   -0.041378    0.021814
   -1   -1   -1   12   15   -0.018589   -0.010773
   -1   -1   -1   13   15   -0.006307    0.018171
   -1   -1   -1   14   15    0.053709   -0.010327
   -1   -1   -1   15   15   -0.117358   -0.000000
   -1   -1   -1   16   15    0.028277   -0.000450
   -1   -1   -1   17   15    0.040368   -0.008136
   -1   -1   -1   18   15   -0.042997   -0.040969
   -1   -1   -1   19   15    0.029467    0.075583
   -1   -1   -1   20   15   -0.004896   -0.023026
   -1   -1   -1   21   15   -0.028978   -0.000078
   -1   -1   -1   22   15    0.017086   -0.051490
   -1   -1   -1    1   16   -0.002590    0.003827
   -1   -1   -1    2   16    0.011874   -0.035673
   -1   -1   -1    3   16    0.003725   -0.002325
   -1   -1   -1    4   16    0.005411    0.009411
   -1   -1   -1    5   16    0.002482   -0.002396
   -1   -1   -1    6   16   -0.002980   -0.007438
   -1   -1   -1    7   16    0.053445    0.027885
   -1   -1   -1    8   16    0.050376    0.084543
   -1   -1   -1    9   16   -0.019773    0.002536
   -1   -1   -1   10   16    0.011714   -0.016184
   -1   -1   -1   11   16   -0.004976   -0.027548
